Buy,CurrencyCode,CurrencyName,Sell,Transfer,date
16272.81,AUD,AUST.DOLLAR,16549.83,16371.04,2019-03-24 12:40:56
17107.02,CAD,CANADIAN DOLLAR,17450.91,17262.38,2019-03-24 12:40:56
23009.98,CHF,SWISS FRANCE,23472.16,23172.19,2019-03-24 12:40:56
0,DKK,DANISH KRONE,3569.46,3460.98,2019-03-24 12:40:56
26023.88,EUR,EURO,26754.21,26102.19,2019-03-24 12:40:56
30063.93,GBP,BRITISH POUND,30545.36,30275.86,2019-03-24 12:40:56
2914.07,HKD,HONGKONG DOLLAR,2978.56,2934.61,2019-03-24 12:40:56
0,INR,INDIAN RUPEE,348.53,335.37,2019-03-24 12:40:56
202.84,JPY,JAPANESE YEN,210.83,204.89,2019-03-24 12:40:56
18.88,KRW,SOUTH KOREAN WON,20.9,19.87,2019-03-24 12:40:56
0,KWD,KUWAITI DINAR,79274.27,76281.19,2019-03-24 12:40:56
0,MYR,MALAYSIAN RINGGIT,5751.26,5677.76,2019-03-24 12:40:56
0,NOK,NORWEGIAN KRONER,2757.67,2673.86,2019-03-24 12:40:56
0,RUB,RUSSIAN RUBLE,402.62,361.32,2019-03-24 12:40:56
0,SAR,SAUDI RIAL,6413.47,6171.33,2019-03-24 12:40:56
0,SEK,SWEDISH KRONA,2534.21,2471.98,2019-03-24 12:40:56
16962.61,SGD,SINGAPORE DOLLAR,17268.75,17082.19,2019-03-24 12:40:56
717.2,THB,THAI BAHT,747.12,717.2,2019-03-24 12:40:56
23150,USD,US DOLLAR,23250,23150,2019-03-24 12:40:56
